FILTER OPTIONS,FILTER OPTIONS,Time,session code,Presentations name,session title,title,authors,EasyChair,,,,,,Session Chairs TBD,COMMENTS
,7/1/25,,,,,,,,Tuesday 1 July,,,,,,
,7/1/25,18:00 - 21:00,,Welcome Drinks,,,,,18:00 - 21:00,Welcome Drinks,,,,,
,,,,,,,,,,,,,,,
,7/2/25,,,,,,,,Wednesday 2 July,,,,,,
,7/2/25,8:30 - 9:00,,Registration & Opening,,,,,8:30 - 9:00,Registration,,,,,
,7/2/25,9:00 - 9:30,,Welcome & Opening Remarks,,,,,9:00 - 9:30,Welcome & Opening Remarks,,,,,
,7/2/25,9:30 - 9:50,,Lion Dance,,,,,9:30 - 9:50,Lion Dance,,,,,
Keynote,7/2/25,9:50 - 10:50,,Keynote 1: MARIANA POPESCU,,,,,9:50 - 10:50,Keynote 1: MARIANA POPESCU,,,,,
,7/2/25,10:50 - 11:00,,Break,,,,,10:50 - 11:00,Break,,,,,
Catalytic Interfaces,7/2/25,11:00 - 11:20,CI,Catalytic Interfaces - Check In,,,,,11:00 - 11:20,Catalytic Interfaces - Check In,,,,,
Speaker-led Special Collection Paper Session,7/2/25,11:20 - 12:30,S-S1,Speaker-led Presentations 1,INTELLIGENT ROBOTIC ASSEMBLY,,,,11:20 - 12:30,Speaker-led Presentations 1: INTELLIGENT ROBOTIC ASSEMBLY,,,,Victor Leung ✔,
Speaker-led Special Collection Paper Session,7/2/25,11:20 - 11:25,S-S1,Speaker-led Presentations 1,INTELLIGENT ROBOTIC ASSEMBLY,,,,,,11:20 - 11:25,,intro,,
Speaker-led Special Collection Paper Session,7/2/25,11:25 - 11:40,S-S1,Speaker-led Presentations 1,INTELLIGENT ROBOTIC ASSEMBLY,"DESIGN VALIDATION FOR ROBOTIC FABRICATION: A MULTI-STAGE FRAMEWORK FOR COMPLEX AND NON-REPETITIVE PROCESSES 
",Pok Yin Victor Leung and Yijiang Huang,238,,,11:25 - 11:40,[ 238 ],"DESIGN VALIDATION FOR ROBOTIC FABRICATION: A MULTI-STAGE FRAMEWORK FOR COMPLEX AND NON-REPETITIVE PROCESSES 
By Pok Yin Victor Leung and Yijiang Huang",,
Speaker-led Special Collection Paper Session,7/2/25,11:40 - 11:55,S-S1,Speaker-led Presentations 1,INTELLIGENT ROBOTIC ASSEMBLY,"TPACS: PHYGITAL-AIDED CONSTRUCTION SYSTEM BASED ON MODULAR CUSTOMIZABLE TIMBER FABRICATION
",Yuhong Wu and Tiantian Lo,349,,,11:40 - 11:55,[ 349 ],"TPACS: PHYGITAL-AIDED CONSTRUCTION SYSTEM BASED ON MODULAR CUSTOMIZABLE TIMBER FABRICATION
By Yuhong Wu and Tiantian Lo",,
Speaker-led Special Collection Paper Session,7/2/25,11:55 - 12:10,S-S1,Speaker-led Presentations 1,INTELLIGENT ROBOTIC ASSEMBLY,"PARAMETRIC BIOMIMICRY: TRANSLATING SPIRAL SEASHELL FORMATION INTO ROBOTIC 3D PRINTING
",Ali Farajmandi and Negar Kalantar,36,,,11:55 - 12:10,[ 36 ],"PARAMETRIC BIOMIMICRY: TRANSLATING SPIRAL SEASHELL FORMATION INTO ROBOTIC 3D PRINTING
By Ali Farajmandi and Negar Kalantar",,
Speaker-led Special Collection Paper Session,7/2/25,12:10 - 12:30,S-S1,Speaker-led Presentations 1,INTELLIGENT ROBOTIC ASSEMBLY,,,,,,12:10 - 12:30,,Discussion,,
,7/2/25,12:30 - 13:10,,Lunch Break / Poster Viewing,,,,,12:30 - 13:10,Lunch Break / Poster Viewing,,,,,
Parallel Paper Presentations,7/2/25,13:10 - 14:00,,Parallel Presentations 1,,,,,13:10 - 14:00,Parallel Presentations 1,,,,,
Parallel Paper Presentations,7/2/25,13:10 - 13:50,P-A1,Parallel Presentations 1,URBAN PERCEPTIONS & PATTERNS,,,,,,13:10 - 13:50,,URBAN PERCEPTIONS & PATTERNS,"Binley Chen (DoA, HKU)
binley.chen@hku.hk",
Parallel Paper Presentations,7/2/25,13:10 - 13:20,P-A1,Parallel Presentations 1,URBAN PERCEPTIONS & PATTERNS,"SUPERIORITY OF HIGH-DIMENSIONAL LATENT VARIABLE REPRESENTATION IN URBAN SPATIAL STRUCTURE: EVIDENCE FROM AN URBAN CLIMATE STUDY
","Yanting Shen, Mengqing Yu, Chenyu Huang and Jiawei Yao",5,,,13:10 - 13:20,[ 5 ],"SUPERIORITY OF HIGH-DIMENSIONAL LATENT VARIABLE REPRESENTATION IN URBAN SPATIAL STRUCTURE: EVIDENCE FROM AN URBAN CLIMATE STUDY
By Yanting Shen, Mengqing Yu, Chenyu Huang and Jiawei Yao",,
Parallel Paper Presentations,7/2/25,13:20 - 13:30,P-A1,Parallel Presentations 1,URBAN PERCEPTIONS & PATTERNS,"BOUNDARY VITALITY: ANALYZING URBAN PUBLIC PERCEPTION OF SPATIAL AND VISUAL ELEMENTS IN MANHATTAN
","Yutong Wu, Jiani Du, Zhao Zhang and Han Tu",46,,,13:20 - 13:30,[ 46 ],"BOUNDARY VITALITY: ANALYZING URBAN PUBLIC PERCEPTION OF SPATIAL AND VISUAL ELEMENTS IN MANHATTAN
By Yutong Wu, Jiani Du, Zhao Zhang and Han Tu",,
