#,Authors,Title,File Submission,submission type,Time,Abstract
5,"Yanting Shen, Mengqing Yu, Chenyu Huang and Jiawei Yao","Superiority of High-Dimensional Latent Variable
Representation in Urban Spatial Structure: Evidence from an
Urban Climate Study",✔,Regular Paper,"Sep 10, 17:16","Quantitative descriptions of urban morphology enhance our
understanding of urban systems' operation and evolution.
Traditional methods of urban classification, which rely on
manually defined morphological indicators, often face
challenges such as information loss, spatial mismatches,
and a lack of robustness. To address these issues, deep
learning techniques have been developed for
high-dimensional feature extraction and latent variable
representation, improving the robustness of urban
classification. However, the effectiveness of these methods
in urban-related studies remains uncertain. This study
employs a deep learning approach focused on urban
microclimate research to investigate how the spatial
characteristics of building and vegetation combinations
affect land surface temperature (LST) in urban residential
areas. Using a Variational Autoencoder (VAE) model, we
encode and sample two-dimensional images of plots to
extract compressed feature vectors (CFV). These CFV are
then clustered as the experimental group, while traditional
planar indicators are used to cluster the control group,
with both groups undergoing k-means clustering across 1 to
20 categories. Finally, we apply the XGBOOST algorithm to
train and predict LST for each dataset derived from these
classification methods, evaluating the model's accuracy to
compare classification efficiency. The results show that
the CFV-based classification consistently outperforms
traditional methods in nearly all experiments (by 4%-62%)
and can reliably determine the optimal number of clusters
(5 categories). These findings confirm the significant
advantages of deep learning-based urban morphology
classification and its potential in urban climate research,
providing strong support for advancing precise urban
science studies."
19,"Tinghao Feng, Yulu Zhang, Xinhui Xu, Zhengcheng He, Wenjing
Li and Philip F. Yuan","Integrating Regulatory Compliance In AI-Assisted
Architectural Design",✔,Regular Paper,"Sep 13, 15:09","In the new era of human-computer interaction (HCI),
Artificial Intelligence (AI)-assisted design tools present
opportunities for designers by offering var-ious
interactive choices. Large Language Models (LLMs) have also
shown their potential in generating design responses.
However, these tools are fac-ing a lot of technical
challenges, especially in terms of design compliance within
the architectural design environment. Architects are
responsible for ensuring their design compliance with
constantly updating regulations at dif-ferent design
stages. But due to fragmentation and high specialization of
building regulations, AI-assisted design tools sometimes
struggle to accurate-ly provide compliant responses based
on these unstructured regulatory terms. In this context,
regulatory compliance becomes one of crucial challenges
within AI-assisted architectural design. To address this
challenge, this paper introduces an AI-enhanced design
platform, FU GPT, aims to balance the conflict between
design creativity and regulatory compliance. In the
plat-form, four compliant interactions were proposed to
support the design de-mands from different design stages:
basic architectural knowledge interac-tion, regulatory
interaction, file parsing interaction and image generation
in-teraction. A regulatory knowledge graph (RKG) and a
multi-dimensional vec-tor comparison engine were designed
as compliant foundations to support the compliance of these
interactive modes. The experiment results indicated that FU
GPT could efficiently provide compliant design responses
for archi-tects at different stages within AI-assisted
design workflow."
27,"Shenzhou Dai, Sihang Liu, Haojun Wang, Yulin Chen and
Zixiong Lin","A Full-Process Digital Method for Recursive Geometric
Structure and Machining Parameter Generation Targeting the
Reutilization of Curved Timber",✔,Regular Paper,"Sep 15, 17:12","The commercial wood processing industry, driven by North
American construction, generates a substantial amount of
by-products annually, including branches, bark, wood
shavings, and sawdust. Building upon previous practices in
reusing wood by-products, this study focuses on optimizing
the utilization of curved timber generated during the
logging process. A computational method is proposed to
support the fabrication of non-standard wooden products
using robotic arms or collaborative robots for future
applications. This method facilitates the generation and
visualization of structural schemes and construction
parameters for the primary framework. The approach relies
on GHPython components and is implemented through three key
stages: a three-dimensional posture brute-force search
based on fixed angle increments, structural combination
solving using the SymPy computational library, and node
visualization and generation on the Grasshopper platform.
These steps enable the acquisition of manufacturing
parameters for a stable recursive spatial truss structure
while maximizing the utilization of raw materials. The
study significantly enhances computational efficiency and
validates the structural reliability of the generated
framework through finite element analysis."
29,"Hang Xu, Chengxuan Li, Timur Dogan and Patrick Kastner","Understand Urban Building Energy Consumption with
Explainable Machine Learning Approaches",✔,Regular Paper,"Sep 16, 02:20","Urban decarbonization is a critical goal in addressing
climate change, requiring large-scale Urban Building Energy
Models (UBEMs) to inform effective policy decisions. To
understand the non-linear relationships between individual
building energy demand, complex neighborhood context, and
population factors at an urban scale, this study uses
machine learning-based  models of energy use combined with
rarely-used geospatial data. In our case study area, we
combine building footprints, tax assessments, and
annonymized meter-level energy usage billing data provided
by the local utility. We derive non-geometric information
derived from tax assessment data that incorporates thermal
systems, vintage, improvement records, demographics, and
rural-urban definitions. We include geospatial features,
such as the urban tree canopy (UTC) ratio, to capture
microclimate impacts on building energy demand, driven by
shading and evapotranspiration effects. We compare multiple
machine learning models—including Multivariable Linear
Regression (MLR), K-Nearest Neighbors (KNN), Support Vector
Machine (SVM), Extreme Gradient Boosting (XGB), and Random
Forest (RF)—regarding their Mean Absolute Error (MAE), Root
Mean Square Error (MSE), and the coefficient of
determination (R²). The results show that RF outperforms
other models in our datasets. Furthermore. Complex
non-linear relationships and interaction effects are
explored using partial dependence plots (PDPs),
highlighting the significance of UTC in shaping building
energy consumption. These findings help prioritize model
features for data-driven urban building energy modeling and
emphasize the need to incorporate additional microclimate
features in future studies."
30,"Fang-Che Cheng, Henriette Bier, Ningzhu Wang and Alisa
Andrasek","Review of Advances in the Robotization of Timber
Construction",✔,Regular Paper,"Sep 16, 07:55","Robotic timber construction has advanced significantly in
the last decade, considerably impacting production
efficiency and sustainability. This paper explores via
literature review the state-of-the-art robotization in
timber construction by identifying various computational
and robotic tools, techniques, and methods that support the
design to fabrication process. It furthermore reflects on
the advantages of robotic production and assembly, and the
limits to adopting these technologies at large scale. It
contributes to understanding current level of robotization
in timber construction and identifying future steps."
33,Kifah Alhazzaa and Wei Yan,"Transforming Architectural Education: The Impact of VR and
AR on Understanding Building Energy Efficiency",✔,Regular Paper,"Sep 16, 16:06","This study investigates the efficacy of Virtual Reality
(VR) and Augmented Reality (AR) technologies in enhancing
the understanding of building thermal behavior and energy
simulations among undergraduate students. Given the growing
importance of sustainable building practices and the
complexities involved in energy modeling, immersive
technologies like VR and AR offer promising avenues for
education. The research involved 60 participants from
University X, divided evenly into two groups, each exposed
to either VR or AR learning environments specifically
designed to visualize the results of the building energy
simulations. The study aimed to determine which of these
technologies more effectively facilitates comprehension of
the intricate relationships between building components and
their impact on thermal behavior and energy efficiency. The
AR group showed a significant improvement in
post-experiment assessments, with statistical analysis
revealing that AR provides a more intuitive, engaging, and
contextually relevant learning experience compared to VR.
This is likely due to AR's ability to overlay digital
information onto the physical world, allowing students to
interact with and better understand complex concepts in a
real-world context. The research highlights that students'
academic backgrounds, particularly in STEM versus non-STEM
fields, influence the effectiveness of these technologies.
STEM students demonstrated higher learning gains,
underscoring the role of prior knowledge in maximizing the
benefits of immersive learning environments. The findings
suggest that AR can serve as a powerful pedagogical tool in
Architecture, Engineering, and Construction (AEC)
education, bridging the gap between theoretical knowledge
and practical application. This study advocates for the
broader integration of AR and VR technologies in
educational curricula to prepare future professionals for
the challenges of designing energy-efficient, sustainable
buildings."
34,Michail Georgiou and Odysseas Georgiou,"Adaptive Design and Fabrication of Modular Topological
Interlocking Assemblies",✔,Regular Paper,"Sep 16, 16:14","This paper presents a novel combinatorial topological
interlocking assembly (TIA) framework that integrates
computational design and digital fabrication, to create
lightweight, reconfigurable structures. Departing from
traditional reliance on self-stabilizing modules, the
system employs folded sheet metal components whose systemic
rigidity emerges through composite clustering, enabling
multi-directional growth and bottom-up formation of complex
geometries. By leveraging a single uniform module and
pre-grouped sub-assemblies, the approach aligns with
circular economy principles and streamlines on-site
installation. Finite Element Method (FEM) simulations
guided iterative form-finding, ensuring ro-bust structural
performance. A full-scale mock-up, realized under strict
time con-straints, demonstrates the system’s scalability,
material efficiency, and potential for rapidly deployable,
reconfigurable construction solutions."
36,Ali Farajmandi and Negar Kalantar,"Parametric Biomimicry: Translating Spiral Seashell
Formation into Robotic 3D Printing",✔,Regular Paper,"Sep 17, 01:23","The architectural marvel of spiral seashells, with their
intricate geometric patterns and structural efficiency, has
long captivated scientists and designers. This research
delves into the biomimetic potential of mollusks and their
shell structures, exploring their application in
computational design and digital fabrication. By analyzing
the natural construction rules of mollusks, including their
growth patterns, classification, and material composition,
the project seeks to translate these biological phenomena
into parametric models using Grasshopper. Advanced
computational strategies, including non-linear 3D printing
techniques and rotational printing, were developed to
fabricate shells inspired by the natural geometry of
seashells. These fabrication techniques are not only
aesthetic but also demonstrate potential solutions to
challenges in architectural sustainability and material
efficiency. The project employs a six-axis robotic arm,
showcasing the benefits of integrating robotics and
computation into modern design practices. Beyond
fabrication, this study addresses the artistic and
ecological significance of seashell geometry, connecting
the natural world with architectural innovation. The
findings emphasize the importance of biomimicry in
advancing architectural and industrial design, advocating
for a harmonious relationship between natural systems and
human ingenuity. This research provides a foundation for
further exploration into non-linear manufacturing and its
implications for sustainable and adaptive design
methodologies."
41,"Lok Hang Cheung, Likai Wang and Juan Carlos Dall'Asta","Collaborative, conversational architectural design process
between human designers and multimodal AI agents for
early-stage design exploration",✔,Regular Paper,"Sep 19, 14:54","AI applications in architectural design are mostly confined
to individual use and linear design flows, with a steep
learning curve for mastering sophisticated multimodal AI
tools. Although agentic AI systems have shown enormous
potential for enhancing creative collaboration between
designers and AIs, their use in architectural design is
underexplored. This paper proposes a conversational design
framework for an early-stage architectural design process
in a collaborative environment, featuring an
architectural-focus multimodal agentic AI system, com-posed
of two AI bots. AI bot one is the main design partner,
which is flexible in using different tools to respond to
users’ enquiries. In contrast, AI bot two specialises in
design iterations through image generation and editing upon
verbal communications. Leveraging Discord, a common
messaging platform, facilitates the medium for human-AI
collaboration. A case study of two design workshop sessions
with six architecture students is presented. Participants
joined the online platforms with the developed AI system
for 1-to-1 and group design conversation and collaboration
on a university campus pavilion design. The challenges,
opportunities and implications of research, education, and
real-world practice are discussed through observation and
semi-structured interviews with the students."
42,Erfan Rezaei Azari and Negar Kalantar,"From Flat to Form ; Developing Flexible 3D-Printed Kerfing
Structures Without Scaffolding",✔,Regular Paper,"Sep 19, 16:42","Kerfing, traditionally used in crafting musical
instruments, enhances material flexibility through
strategic cuts. With the advent of digital fabrication and
parametric design, this study introduces a novel
scaffold-free additive kerfing technique for 3D printing.
Instead of subtracting material, this approach deposits
material to enable rigid materials to deform into complex
3D surfaces. Similar to adjustable 3D-printed lattice cores
[1], this research reimagines kerfing for 3D applications
by proposing a framework for generating flat kerfing core
structures that can be efficiently stacked. By focusing on
the x and y axes, print time is reduced, and the resulting
structures offer enhanced energy absorption and
adaptability, with potential applications in vehicle safety
and aerospace [2].
This study presents flexible 3D-printed kerfing structures
that transform from a flat state into complex 3D forms
without the need for scaffolding. The process is driven by
generating a Dual Graph [3] of a 2D mesh, with two
interconnected layers of panels linked through connectors.
Additionally,  the framework allows for the creation of a
2D mesh that deforms into a desired surface when bent,
leveraging an adaptation of Laplace's equation [4].
Results demonstrate the framework’s effectiveness in
producing flexible kerfing structures, optimized through
Rhino and Grasshopper. Material tests using PLA, TPU, and
Onyx [3] highlight distinct performance characteristics,
with tunable flexibility and rigidity achieved by adjusting
layer gaps, connector thickness, and structure height to
meet specific requirements.

[1] M.F. Ashby, The properties of foams and lattices,
Philosophical Transactions of the Royal Society A:
Mathematical, Physical and Engineering Sciences 364(1838)
(2006) 15-30.
[2] Y.-Y. Sun, Z.-W. Yu, Z.-G. Wang, Bioinspired design of
building materials for blast and ballistic protection,
Advances in Civil Engineering 2016 (2016).

[3] Thulasiraman, K.; Swamy, M. N. S. (2011), Graphs:
Theory and Algorithms, John Wiley & Sons, Exercise 7.11, p.
198,
[4]Minoux, M. (1986). Mathematical programming: Theory and
algorithms. Egon Balas (foreword) (Translated by Steven
Vajda from the (1983 Paris: Dunod) French ed.). Chichester:
A Wiley-Interscience Publication. John Wiley & Sons, Ltd.
pp. xxviii+489. ISBN 0-471-90170-9. MR 0868279. (2008
Second ed., in French: Programmation mathématique: Théorie
et algorithmes. Editions Tec & Doc, Paris, 2008. xxx+711
pp. . )."
